shapeID,propertyID,propertyLabel,propertyDescription,mandatory,repeatable,valueNodeType,valueDataType,valueConstraint,valueConstraintType,valueShape,valueClass,note,severity,message
DoujinProductShape,isdn:isdn,ISDNコード,,TRUE,FALSE,Literal,xsd:string,,,,,,,
DoujinProductShape,owl:sameAs,同一リソース,,FALSE,TRUE,IRI,,,,,,,,
DoujinProductShape,schema:identifier,識別子,,TRUE,TRUE,IRI BNODE,,,,,,,,
DoujinProductShape,isdn:derivationType,派生作品種別,,TRUE,FALSE,IRI,,isdn:OriginalWork|isdn:DerivativeWork,picklist,,,,,
DoujinProductShape,schema:category,形態,同人誌・同人グッズなど,TRUE,FALSE,Literal,xsd:string,,,,,,,
DoujinProductShape,isdn:ratingGender,レーティング（性別）,区別なし・女性向け・男性向け,TRUE,FALSE,Literal,xsd:string,区別なし|女性向け|男性向け,picklist,,,,,
DoujinProductShape,isdn:ratingAge,レーティング（年齢）,一般・15禁・18禁,TRUE,FALSE,Literal,xsd:string,一般|15禁|18禁,picklist,,,,,
DoujinProductShape,schema:name,名称,,TRUE,TRUE,Literal,xsd:string,,,,,,,
DoujinProductShape,rdfs:label,ラベル,,TRUE,TRUE,Literal,rdf:langString,,,,,日本語の「よみがな」は言語タグ「ja-Hira」,,
DoujinProductShape,schema:publisher,発行者（サークル）,,TRUE,FALSE,IRI BNODE,,,,OrganizationShape,,,,
DoujinProductShape,schema:datePublished,発行日,,TRUE,FALSE,Literal,xsd:date,,,,,,,
DoujinProductShape,schema:genre,ジャンル,,FALSE,TRUE,IRI BNODE,,,,,,,,
DoujinProductShape,schema:offers,価格,,FALSE,TRUE,IRI BNODE,,,,,,,,
DoujinProductShape,isdn:bookJanCodeSecondRow,2段目バーコード,,FALSE,FALSE,Literal,xsd:string,,,,,,,
DoujinProductShape,schema:description,作品内容コメント,,FALSE,FALSE,Literal,xsd:string,,,,,,,
DoujinProductShape,isdn:productStyle,体裁,印刷・製本・プレスなど,FALSE,FALSE,Literal,xsd:string,,,,,,,
DoujinProductShape,schema:size,大きさ,B5・CDケースなど,FALSE,FALSE,Literal,xsd:string,,,,,,,
DoujinProductShape,isdn:carrierExtent,容量,,FALSE,FALSE,IRI BNODE,,,,QuantitativeValueShape,,,,
DoujinProductShape,schema:thumbnailUrl,サムネイル画像URL,,FALSE,TRUE,IRI,,,,,,,,
DoujinProductShape,schema:additionalProperty,登録者定義情報,,FALSE,TRUE,BNODE,,,,UserOptionShape,,,,
DoujinProductShape,schema:relatedLink,リンク,,FALSE,TRUE,BNODE,,,,WebPageShape,,,,
DoujinProductShape,isdn:printingMethod,印刷方法,,FALSE,FALSE,Literal,xsd:string,,,,,,,
DoujinProductShape,isdn:bindingMethod,綴じ方法,,FALSE,FALSE,Literal,xsd:string,,,,,,,
DoujinProductShape,isdn:carrierType,媒体形態,,FALSE,FALSE,Literal,xsd:string,,,,,,,
DoujinProductShape,isdn:numberOfPages,ページ数,,FALSE,FALSE,Literal,xsd:decimal,,,,,,,
ISDNShape,schema:propertyID,プロパティID,,TRUE,FALSE,Literal,xsd:string,ISDN,,,,,,
ISDNShape,schema:value,ISDNコード,,TRUE,FALSE,Literal,xsd:string,,,,,,,
ISDNShape,schema:alternateName,表示用ISDN表現,,TRUE,FALSE,Literal,xsd:string,,,,,,,
ISDNShape,isdn:isdnPrefix,接頭記号,,TRUE,FALSE,Literal,xsd:string,,,,,,,
ISDNShape,isdn:isdnRegistrationGroup,グループ記号,,TRUE,FALSE,Literal,xsd:string,,,,,,,
ISDNShape,isdn:isdnRegistrationGroupName,グループ名称,,TRUE,FALSE,Literal,xsd:string,,,,,,,
ISDNShape,isdn:isdnRegistrant,出版者記号,,TRUE,FALSE,Literal,xsd:string,,,,,,,
ISDNShape,isdn:isdnPublication,書名記号,,TRUE,FALSE,Literal,xsd:string,,,,,,,
ISDNShape,isdn:isdnCheckDigit,チェックデジット,,TRUE,FALSE,Literal,xsd:string,,,,,,,
OrganizationShape,schema:name,名称,,TRUE,FALSE,Literal,xsd:string,,,,,,,
OrganizationShape,rdfs:label,ラベル,,TRUE,TRUE,Literal,rdf:langString,,,,,日本語の「よみがな」は言語タグ「ja-Hira」,,
